X,Y,¦¤X = 0000,¦¤X = 0001,¦¤X = 0010,¦¤X = 0011,¦¤X = 0100,¦¤X = 0101,¦¤X = 0110,¦¤X = 0111,¦¤X = 1000,¦¤X = 1001,¦¤X = 1010,¦¤X = 1011,¦¤X = 1100,¦¤X = 1101,¦¤X = 1110,¦¤X = 1111,
X = 0000,Y = 1110,¦¤Y = 0000,¦¤Y = 1010,¦¤Y = 0011,¦¤Y = 1111,¦¤Y = 1100,¦¤Y = 0001,¦¤Y = 0101,¦¤Y = 0110,¦¤Y = 1101,¦¤Y = 0100,¦¤Y = 1000,¦¤Y = 0010,¦¤Y = 1011,¦¤Y = 0111,¦¤Y = 1110,¦¤Y = 1001,
X = 0001,Y = 0100,¦¤Y = 0000,¦¤Y = 1010,¦¤Y = 0101,¦¤Y = 1001,¦¤Y = 1011,¦¤Y = 0110,¦¤Y = 1100,¦¤Y = 1111,¦¤Y = 1110,¦¤Y = 0111,¦¤Y = 1000,¦¤Y = 0010,¦¤Y = 1101,¦¤Y = 0001,¦¤Y = 0011,¦¤Y = 0100,
X = 0010,Y = 1101,¦¤Y = 0000,¦¤Y = 1100,¦¤Y = 0011,¦¤Y = 1001,¦¤Y = 0110,¦¤Y = 0101,¦¤Y = 1111,¦¤Y = 0010,¦¤Y = 1011,¦¤Y = 0001,¦¤Y = 1110,¦¤Y = 0111,¦¤Y = 1101,¦¤Y = 1010,¦¤Y = 1000,¦¤Y = 0100,
X = 0011,Y = 0001,¦¤Y = 0000,¦¤Y = 1100,¦¤Y = 0101,¦¤Y = 1111,¦¤Y = 1001,¦¤Y = 1010,¦¤Y = 1110,¦¤Y = 0011,¦¤Y = 1101,¦¤Y = 0111,¦¤Y = 1011,¦¤Y = 0010,¦¤Y = 0110,¦¤Y = 0001,¦¤Y = 1000,¦¤Y = 0100,
X = 0100,Y = 0010,¦¤Y = 0000,¦¤Y = 1101,¦¤Y = 1001,¦¤Y = 1010,¦¤Y = 1100,¦¤Y = 0110,¦¤Y = 1111,¦¤Y = 0011,¦¤Y = 0111,¦¤Y = 1011,¦¤Y = 0010,¦¤Y = 0101,¦¤Y = 0001,¦¤Y = 1000,¦¤Y = 0100,¦¤Y = 1110,
X = 0101,Y = 1111,¦¤Y = 0000,¦¤Y = 1101,¦¤Y = 0111,¦¤Y = 0100,¦¤Y = 1011,¦¤Y = 0001,¦¤Y = 1110,¦¤Y = 0010,¦¤Y = 0110,¦¤Y = 1010,¦¤Y = 1000,¦¤Y = 1111,¦¤Y = 0101,¦¤Y = 1100,¦¤Y = 0011,¦¤Y = 1001,
X = 0110,Y = 1011,¦¤Y = 0000,¦¤Y = 0011,¦¤Y = 1001,¦¤Y = 0100,¦¤Y = 0110,¦¤Y = 1010,¦¤Y = 0101,¦¤Y = 1111,¦¤Y = 1011,¦¤Y = 1100,¦¤Y = 1110,¦¤Y = 0010,¦¤Y = 1101,¦¤Y = 0111,¦¤Y = 1000,¦¤Y = 0001,
X = 0111,Y = 1000,¦¤Y = 0000,¦¤Y = 0011,¦¤Y = 0111,¦¤Y = 1010,¦¤Y = 1001,¦¤Y = 0101,¦¤Y = 1100,¦¤Y = 0110,¦¤Y = 1111,¦¤Y = 1000,¦¤Y = 0001,¦¤Y = 1101,¦¤Y = 0100,¦¤Y = 1110,¦¤Y = 0010,¦¤Y = 1011,
X = 1000,Y = 0011,¦¤Y = 0000,¦¤Y = 1001,¦¤Y = 0101,¦¤Y = 1111,¦¤Y = 0110,¦¤Y = 1010,¦¤Y = 0011,¦¤Y = 0100,¦¤Y = 1101,¦¤Y = 0111,¦¤Y = 1110,¦¤Y = 0010,¦¤Y = 0001,¦¤Y = 1100,¦¤Y = 1000,¦¤Y = 1011,
X = 1001,Y = 1010,¦¤Y = 0000,¦¤Y = 1001,¦¤Y = 0110,¦¤Y = 1100,¦¤Y = 0011,¦¤Y = 1111,¦¤Y = 1101,¦¤Y = 1010,¦¤Y = 1110,¦¤Y = 0100,¦¤Y = 1011,¦¤Y = 0111,¦¤Y = 0101,¦¤Y = 1000,¦¤Y = 0010,¦¤Y = 0001,
X = 1010,Y = 0110,¦¤Y = 0000,¦¤Y = 1010,¦¤Y = 0101,¦¤Y = 1100,¦¤Y = 0110,¦¤Y = 0001,¦¤Y = 0011,¦¤Y = 1111,¦¤Y = 1011,¦¤Y = 0111,¦¤Y = 1000,¦¤Y = 0010,¦¤Y = 1101,¦¤Y = 1110,¦¤Y = 0100,¦¤Y = 1001,
X = 1011,Y = 1100,¦¤Y = 0000,¦¤Y = 1010,¦¤Y = 0110,¦¤Y = 1111,¦¤Y = 1011,¦¤Y = 1100,¦¤Y = 0101,¦¤Y = 1001,¦¤Y = 1101,¦¤Y = 0001,¦¤Y = 1000,¦¤Y = 0010,¦¤Y = 0100,¦¤Y = 0111,¦¤Y = 0011,¦¤Y = 1110,
X = 1100,Y = 0101,¦¤Y = 0000,¦¤Y = 1100,¦¤Y = 0101,¦¤Y = 0010,¦¤Y = 0110,¦¤Y = 1111,¦¤Y = 0011,¦¤Y = 1001,¦¤Y = 0111,¦¤Y = 1010,¦¤Y = 1110,¦¤Y = 1101,¦¤Y = 1011,¦¤Y = 0001,¦¤Y = 1000,¦¤Y = 0100,
X = 1101,Y = 1001,¦¤Y = 0000,¦¤Y = 1100,¦¤Y = 1110,¦¤Y = 1001,¦¤Y = 0011,¦¤Y = 1010,¦¤Y = 0101,¦¤Y = 1111,¦¤Y = 0110,¦¤Y = 1011,¦¤Y = 0001,¦¤Y = 0010,¦¤Y = 1101,¦¤Y = 0111,¦¤Y = 1000,¦¤Y = 0100,
X = 1110,Y = 0000,¦¤Y = 0000,¦¤Y = 0111,¦¤Y = 0101,¦¤Y = 1001,¦¤Y = 0110,¦¤Y = 1100,¦¤Y = 0011,¦¤Y = 1010,¦¤Y = 1011,¦¤Y = 1000,¦¤Y = 0010,¦¤Y = 1111,¦¤Y = 1101,¦¤Y = 0001,¦¤Y = 1110,¦¤Y = 0100,
X = 1111,Y = 0111,¦¤Y = 0000,¦¤Y = 0111,¦¤Y = 1110,¦¤Y = 0010,¦¤Y = 1011,¦¤Y = 0001,¦¤Y = 1101,¦¤Y = 0100,¦¤Y = 1111,¦¤Y = 1100,¦¤Y = 1000,¦¤Y = 0101,¦¤Y = 0110,¦¤Y = 1010,¦¤Y = 0011,¦¤Y = 1001,

16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,2,0,0,0,2,0,2,4,0,4,2,0,0,
0,0,0,2,0,6,2,2,0,2,0,0,0,0,2,0,
0,0,2,0,2,0,0,0,0,4,2,0,2,0,0,4,
0,0,0,2,0,0,6,0,0,2,0,4,2,0,0,0,
0,4,0,0,0,2,2,0,0,0,4,0,2,0,0,2,
0,0,0,4,0,4,0,0,0,0,0,0,2,2,2,2,
0,0,2,2,2,0,2,0,0,2,2,0,0,0,0,4,
0,0,0,0,0,0,2,2,0,0,0,4,0,4,2,2,
0,2,0,0,2,0,0,4,2,0,2,2,2,0,0,0,
0,2,2,0,0,0,0,0,6,0,0,2,0,0,4,0,
0,0,8,0,0,2,0,2,0,0,0,0,0,2,0,2,
0,2,0,0,2,2,2,0,0,0,0,2,0,6,0,0,
0,4,0,0,0,0,0,4,2,0,2,0,2,0,2,0,
0,0,2,4,2,0,0,0,6,0,0,0,0,0,2,0,
0,2,0,0,6,0,0,0,0,4,0,2,0,0,2,0,
